Species,CommonName,Species.CommonName,Color
Unknown Carcharhinus (Genus),Requiem sharks,Carcharhinus (Requiem sharks),#B09C70
Unknown Cypriniformes (Order),Cyprinids,Cypriniformes (Cyprinids),#FE992D
Unknown Istiophoriformes (Order),Billfish,Istiophoriformes (Billfish),#FA8311
Unknown Sciaenidae (Family),Drums,Sciaenidae (Drums),#F3804F
Unknown Chondrichthyes (Class),Cartilaginous fishes,Chondrichthyes (Cartilaginous fishes),#A787C0
Unknown Carangiformes (Order),Carangiformes,Carangiformes,#76AFD2
Unknown Holacanthus (Genus),Marine angelfishes,Holacanthus sp. (Marine angelfishes),violetred3
Unknown Cichliformes (Order),Cichliformes,Cichliformes,#A7D982
Unknown Gobiiformes (Order),Gobiiformes,Gobiiformes,#7B9D53
Unknown Synbranchiformes (Order),Swamp eels,Synbranchiformes (Swamp eels),#D9A295
Unknown Myliobatiformes (Order),Stingrays,Myliobatiformes (Stingrays),#7AC361
Mustelus henlei,Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Mustelus griseus,Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Selene vomer,Lookdown,Selene vomer (Lookdown),#A6CEE3
Unknown Siganidae__o (Order),Rabbitfishes,Siganidae (Rabbitfishes),#89C295
Bathytoshia lata,Roughtail stingray,Bathytoshia centroura (Roughtail stingray),#E73032
Unknown Pristigenys (Genus),Short bigeye,Pristigenys (Short bigeye),turquoise
Unknown Peprilus (Genus),Peprilus,Peprilus,#F07148
Pristigenys refulgens,Short bigeye,Pristigenys (Short bigeye),turquoise
Mycteroperca microlepis,Gag grouper,Mycteroperca microlepis (Gag grouper),lightcoral
Unknown Paralichthyidae (Family),Summer flounder,Paralichthyidae (Summer flounder),darkseagreen
Clupea harengus,Atlantic herring,Clupea harengus (Atlantic herring),#C9B0D5
Pollachius virens,Pollock,Pollachius virens (Pollock),#3485BB
Pholis gunnellus,Rock gunnel,Pholis gunnellus (Rock gunnel),#D7A49F
Scomberomorus maculatus,Atlantic Spanish mackerel,Scomberomorus maculatus (Atlantic Spanish mackerel),#F8A461
Unknown Sardinops (Genus),Sardinops,Sardine (Sardinops),#FE9323
Salmo salar,Atlantic salmon,Salmo salar (Atlantic salmon),#FE9628
